green,red,start
10,1,0
1,0,0
1,2,0
2,1,0
2,3,0
3,2,0
3,4,0
4,3,0
4,5,0
5,4,0
0,6,0
6,0,0
1,7,0
7,1,0
2,8,0
8,2,0
3,9,0
9,3,0
4,10,0
10,4,0
5,11,0
11,5,0
6,7,0
7,6,0
7,8,0
8,7,0
8,9,0
9,8,0
9,10,0
10,9,0
10,11,0
11,10,0
6,12,0
12,6,0
7,13,0
13,7,0
8,14,0
14,8,0
9,18,0
18,9,0
10,19,0
19,10,0
11,20,0
20,11,0
12,13,0
13,12,0
13,14,0
14,13,0
14,18,0
18,14,0
18,19,0
19,18,0
19,20,0
20,19,0
12,15,0
15,12,0
13,21,0
21,13,0
14,22,0
22,14,0
18,23,0
23,18,0
19,24,0
24,19,0
20,25,0
25,20,0
15,21,0
21,15,0
21,22,0
22,21,0
22,23,0
23,22,0
23,24,0
24,23,0
24,25,0
25,24,0
15,16,0
16,15,0
21,26,0
26,21,0
22,27,0
27,22,0
23,28,0
28,23,0
24,29,0
29,24,0
25,30,0
30,25,0
16,26,0
26,16,0
26,27,0
27,26,0
27,28,0
28,27,0
28,29,0
29,28,0
29,30,0
30,29,0
16,17,0
17,16,0
26,31,0
31,26,0
27,32,0
32,27,0
28,33,0
33,28,0
29,34,0
34,29,0
30,35,0
35,30,0
17,31,0
31,17,0
31,32,0
32,31,0
32,33,0
33,32,0
33,34,0
34,33,0
34,35,0
35,34,0
36,0,0
37,3,0
22,38,0
35,39,0
