start,end
0,1
1,0
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
0,6
6,0
1,7
7,1
2,8
8,2
3,9
9,3
4,10
10,4
5,11
11,5
6,7
7,6
7,8
8,7
8,9
9,8
9,10
10,9
10,11
11,10
6,12
12,6
7,13
13,7
8,14
14,8
9,18
18,9
10,19
19,10
11,20
20,11
12,13
13,12
13,14
14,13
14,18
18,14
18,19
19,18
19,20
20,19
12,15
15,12
13,21
21,13
14,22
22,14
18,23
23,18
19,24
24,19
20,25
25,20
15,21
21,15
21,22
22,21
22,23
23,22
23,24
24,23
24,25
25,24
15,16
16,15
21,26
26,21
22,27
27,22
23,28
28,23
24,29
29,24
25,30
30,25
16,26
26,16
26,27
27,26
27,28
28,27
28,29
29,28
29,30
30,29
16,17
17,16
26,31
31,26
27,32
32,27
28,33
33,28
29,34
34,29
30,35
35,30
17,31
31,17
31,32
32,31
32,33
33,32
33,34
34,33
34,35
35,34
36,0
37,3
22,38
35,39
